Description:;"Celsius-based cooling degree days for a base temperature of 18,0C"
Source:;"www.degreedays.net (using temperature data from www.wunderground.com)"
Accuracy:;"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:;"Napoli / Capodichino, IT (14.29E,40.88N)"
Station ID:;"LIRN"

Date;CDD;% Estimated
2015-03-10;"0";0
2015-03-11;"0";0
2015-03-12;"0";0
2015-03-13;"0";0
2015-03-14;"0";0
2015-03-15;"0";0
2015-03-16;"0";0
2015-03-17;"0";0
2015-03-18;"0";0
2015-03-19;"0";0
2015-03-20;"0";0
2015-03-21;"0";0
2015-03-22;"0";0
2015-03-23;"0";0
2015-03-24;"0,1";0
2015-03-25;"0";0
2015-03-26;"1";0
2015-03-27;"0,1";0
2015-03-28;"0";0
2015-03-29;"0";0
2015-03-30;"0";0
2015-03-31;"0";0
2015-04-01;"0";0
2015-04-02;"0";0
2015-04-03;"0";0
2015-04-04;"0";0
2015-04-05;"0";0
2015-04-06;"0";0
2015-04-07;"0";0
2015-04-08;"0";0
2015-04-09;"0";0
2015-04-10;"0";0
2015-04-11;"0";0
2015-04-12;"0,4";0
2015-04-13;"0,8";0
2015-04-14;"0";0
2015-04-15;"0,2";0
2015-04-16;"0,2";0
2015-04-17;"1";0
2015-04-18;"0";0
2015-04-19;"0,2";0
2015-04-20;"0,5";0
2015-04-21;"1,1";0
2015-04-22;"1,6";0
2015-04-23;"0,5";0
2015-04-24;"0,6";0
2015-04-25;"1,2";0
2015-04-26;"0,6";0
2015-04-27;"0,2";0
2015-04-28;"0";0
2015-04-29;"0,4";0
2015-04-30;"0,1";0
2015-05-01;"0,1";0
2015-05-02;"0,5";0
2015-05-03;"1,7";0
2015-05-04;"3,7";0
2015-05-05;"6";4
2015-05-06;"5,3";0
2015-05-07;"3,8";0
2015-05-08;"2,4";0
2015-05-09;"2,5";0
2015-05-10;"3,8";0
2015-05-11;"4,1";0
2015-05-12;"3,4";0
2015-05-13;"2,4";0
2015-05-14;"2,3";0
2015-05-15;"4,7";0
2015-05-16;"1,6";0
2015-05-17;"4,8";0
2015-05-18;"6,1";0
2015-05-19;"3,3";0
2015-05-20;"2,7";0
2015-05-21;"0,3";0
2015-05-22;"0,3";0
2015-05-23;"0,4";0
2015-05-24;"0,3";0
2015-05-25;"0,9";0
2015-05-26;"1";0
2015-05-27;"1,1";0
2015-05-28;"1";0
2015-05-29;"2,3";0
2015-05-30;"2";0
2015-05-31;"2,8";0
2015-06-01;"3,3";0
2015-06-02;"4,4";0
2015-06-03;"4,8";0
2015-06-04;"5,3";0
2015-06-05;"7,1";0
2015-06-06;"7,9";0
2015-06-07;"6,4";0
2015-06-08;"3,9";0
2015-06-09;"3,1";0
2015-06-10;"5,1";0
2015-06-11;"6,2";0
2015-06-12;"7,9";0
2015-06-13;"8,6";0
2015-06-14;"6,7";0
2015-06-15;"6,3";0
2015-06-16;"5,8";0
2015-06-17;"3,8";0
2015-06-18;"4";0
2015-06-19;"4";0
2015-06-20;"4,7";0
2015-06-21;"5,1";0
2015-06-22;"5";0
2015-06-23;"4,5";0
2015-06-24;"6,1";0
2015-06-25;"6,3";0
2015-06-26;"6,3";0
2015-06-27;"6,1";0
2015-06-28;"5,8";0
2015-06-29;"7,3";0
2015-06-30;"8";0
2015-07-01;"8,6";0
2015-07-02;"8,5";0
2015-07-03;"9,5";0
2015-07-04;"10,7";0
2015-07-05;"9,1";0
2015-07-06;"8,9";0
2015-07-07;"9,6";0
2015-07-08;"9,4";0
2015-07-09;"9,7";0
2015-07-10;"11,1";0
2015-07-11;"10,5";0
2015-07-12;"9,8";0
2015-07-13;"9,1";0
2015-07-14;"9,9";0
2015-07-15;"12,3";0
2015-07-16;"12,1";0
2015-07-17;"12,8";0
2015-07-18;"12,1";0
2015-07-19;"11,4";0
2015-07-20;"10,6";0
2015-07-21;"11,6";0
2015-07-22;"11,7";0
2015-07-23;"8,8";0
2015-07-24;"8,2";0
2015-07-25;"8,9";0
2015-07-26;"10";0
2015-07-27;"8,7";0
2015-07-28;"9,3";0
2015-07-29;"8,6";0
2015-07-30;"9,6";0
2015-07-31;"11,4";0
2015-08-01;"11,2";0
2015-08-02;"11";0
2015-08-03;"11,3";0
2015-08-04;"11,4";0
2015-08-05;"11,7";0
2015-08-06;"12,7";0
2015-08-07;"13";0
2015-08-08;"12,4";0
2015-08-09;"9,3";0
2015-08-10;"8,4";0
2015-08-11;"7,4";0
2015-08-12;"9,7";0
2015-08-13;"11,6";0
2015-08-14;"10,3";0
2015-08-15;"9,3";0
2015-08-16;"4,9";0
2015-08-17;"6,1";0
2015-08-18;"6,9";0
2015-08-19;"6";0
2015-08-20;"6,4";0
2015-08-21;"6,5";0
2015-08-22;"6,5";0
2015-08-23;"6,5";0
2015-08-24;"7,5";0
2015-08-25;"8,9";0
2015-08-26;"7,4";0
2015-08-27;"8,5";0
2015-08-28;"8,9";0
2015-08-29;"10,4";0
2015-08-30;"10,7";0
2015-08-31;"9,2";0
2015-09-01;"8,9";0
2015-09-02;"8,2";0
2015-09-03;"8,1";0
2015-09-04;"7,3";0
2015-09-05;"6,5";0
2015-09-06;"5,1";0
2015-09-07;"5,4";0
2015-09-08;"4,8";0
2015-09-09;"4,1";0
2015-09-10;"4,6";0
2015-09-11;"4";0
2015-09-12;"4,5";0
2015-09-13;"5,1";1
2015-09-14;"6,7";0
2015-09-15;"8";0
2015-09-16;"9,1";0
2015-09-17;"10";0
2015-09-18;"9,8";0
2015-09-19;"7,4";0
2015-09-20;"4,9";0
2015-09-21;"5";0
2015-09-22;"3,7";0
2015-09-23;"4";0
2015-09-24;"1,6";0
2015-09-25;"2,1";0
2015-09-26;"2,5";0
2015-09-27;"2,7";0
2015-09-28;"2,2";0
2015-09-29;"1,9";0
2015-09-30;"2,1";0
2015-10-01;"1";0
2015-10-02;"3";0
2015-10-03;"2,5";0
2015-10-04;"2,5";0
2015-10-05;"2,8";0
2015-10-06;"4,4";0
2015-10-07;"3";0
2015-10-08;"2";0
2015-10-09;"1,7";0
2015-10-10;"0,9";0
2015-10-11;"0,2";0
2015-10-12;"1,3";0
2015-10-13;"2,5";0
2015-10-14;"5,3";0
2015-10-15;"2,2";0
2015-10-16;"0,9";0
2015-10-17;"0,9";0
2015-10-18;"1,8";0
2015-10-19;"2,5";0
2015-10-20;"0,4";0
2015-10-21;"0";0
2015-10-22;"0";0
2015-10-23;"0,1";0
2015-10-24;"0,9";0
2015-10-25;"0,4";0
2015-10-26;"0,3";0
2015-10-27;"0,9";0
2015-10-28;"0,6";0
2015-10-29;"0,5";0
2015-10-30;"0";0
2015-10-31;"0,2";0
2015-11-01;"0,6";0
2015-11-02;"0,9";0
2015-11-03;"0,8";0
2015-11-04;"0,8";0
2015-11-05;"0,6";0
2015-11-06;"0,9";0
2015-11-07;"1,3";0
2015-11-08;"1,5";0
2015-11-09;"0,7";0
2015-11-10;"0,6";0
2015-11-11;"0,4";0
2015-11-12;"0,1";0
2015-11-13;"0";0
2015-11-14;"0,2";0
2015-11-15;"0,2";0
2015-11-16;"0,2";0
2015-11-17;"0";0
2015-11-18;"0,2";0
2015-11-19;"0,3";0
2015-11-20;"0,2";0
2015-11-21;"0,6";0
2015-11-22;"0";0
2015-11-23;"0";0
2015-11-24;"0";0
2015-11-25;"0";0
2015-11-26;"0";0
2015-11-27;"0";0
2015-11-28;"0";0
2015-11-29;"0";0
2015-11-30;"0";0
2015-12-01;"0";0
2015-12-02;"0";0
2015-12-03;"0";0
2015-12-04;"0";0
2015-12-05;"0";0
2015-12-06;"0,1";0
2015-12-07;"0";0
2015-12-08;"0";0
2015-12-09;"0";0
2015-12-10;"0";0
2015-12-11;"0";0
2015-12-12;"0";0
2015-12-13;"0";0
2015-12-14;"0";0
2015-12-15;"0";0
2015-12-16;"0";0
2015-12-17;"0";0
2015-12-18;"0";0
2015-12-19;"0";0
2015-12-20;"0";0
2015-12-21;"0";0
2015-12-22;"0";0
2015-12-23;"0";0
2015-12-24;"0";0
2015-12-25;"0";0
2015-12-26;"0";0
2015-12-27;"0";0
2015-12-28;"0";0
2015-12-29;"0";0
2015-12-30;"0";0
2015-12-31;"0";0
2016-01-01;"0";0
2016-01-02;"0";0
2016-01-03;"0";0
2016-01-04;"0";0
2016-01-05;"0";1
2016-01-06;"0";0
2016-01-07;"0";0
2016-01-08;"0";0
2016-01-09;"0";0
2016-01-10;"0,1";0
2016-01-11;"0";0
2016-01-12;"0";0
2016-01-13;"0";0
2016-01-14;"0";0
2016-01-15;"0";0
2016-01-16;"0";0
2016-01-17;"0";0
2016-01-18;"0";0
2016-01-19;"0";0
2016-01-20;"0";0
2016-01-21;"0";0
2016-01-22;"0";0
2016-01-23;"0";0
2016-01-24;"0";0
2016-01-25;"0";0
2016-01-26;"0";0
2016-01-27;"0";0
2016-01-28;"0";0
2016-01-29;"0";0
2016-01-30;"0";0
2016-01-31;"0";0
2016-02-01;"0";0
2016-02-02;"0";0
2016-02-03;"0";0
2016-02-04;"0";0
2016-02-05;"0";0
2016-02-06;"0";0
2016-02-07;"0";0
2016-02-08;"0";0
2016-02-09;"0";0
2016-02-10;"0";0
2016-02-11;"0";0
2016-02-12;"0";0
2016-02-13;"0";0
2016-02-14;"0";0
2016-02-15;"0";0
2016-02-16;"1,4";0
2016-02-17;"0,1";0
2016-02-18;"0";0
2016-02-19;"0";0
2016-02-20;"0";0
2016-02-21;"0";0
2016-02-22;"0";0
2016-02-23;"0";0
2016-02-24;"0";0
2016-02-25;"0";0
2016-02-26;"0";0
2016-02-27;"0";0
2016-02-28;"0,9";0
2016-02-29;"0";0
2016-03-01;"0";0
2016-03-02;"0";0
2016-03-03;"0";0
2016-03-04;"0";0
2016-03-05;"0";0
2016-03-06;"0";0
2016-03-07;"0";0
2016-03-08;"0";0
2016-03-09;"0";0
2016-03-10;"0";0
2016-03-11;"0";0
2016-03-12;"0";0
2016-03-13;"0";0
2016-03-14;"0";0
2016-03-15;"0";0
2016-03-16;"0";0
2016-03-17;"0";0
2016-03-18;"0";0
2016-03-19;"0";0
2016-03-20;"0";0
2016-03-21;"1,1";0
2016-03-22;"0,8";0
2016-03-23;"0";0
2016-03-24;"0";0
2016-03-25;"0";0
2016-03-26;"0";0
2016-03-27;"0";0
2016-03-28;"0";0
2016-03-29;"0";0
2016-03-30;"0,1";0
2016-03-31;"2,1";0
2016-04-01;"2";0
2016-04-02;"1,5";0
2016-04-03;"1,8";0
2016-04-04;"1,3";0
2016-04-05;"1,7";0
2016-04-06;"1,8";0
2016-04-07;"2,8";0
2016-04-08;"1,6";0
2016-04-09;"0";0
2016-04-10;"0";0
2016-04-11;"0";0
2016-04-12;"1";0
2016-04-13;"2,1";0
2016-04-14;"0,2";0
2016-04-15;"0,3";0
2016-04-16;"1,9";0
2016-04-17;"3,2";0
2016-04-18;"4,2";2
2016-04-19;"0,5";0
2016-04-20;"1,6";0
2016-04-21;"1,3";0
2016-04-22;"0";0
2016-04-23;"0";0
2016-04-24;"0";0
2016-04-25;"0";0
2016-04-26;"0";0
2016-04-27;"0";0
2016-04-28;"1,1";0
2016-04-29;"1,6";0
2016-04-30;"0,9";0
2016-05-01;"0";0
2016-05-02;"0";0
2016-05-03;"0,7";0
2016-05-04;"1";0
2016-05-05;"0,8";0
2016-05-06;"1,5";0
2016-05-07;"1,4";0
2016-05-08;"1,2";0
2016-05-09;"1,9";0
2016-05-10;"3,5";0
2016-05-11;"3,4";0
2016-05-12;"0,9";0
2016-05-13;"0,7";0
2016-05-14;"0,2";0
2016-05-15;"0";0
2016-05-16;"0,7";0
2016-05-17;"0,2";0
2016-05-18;"0,7";0
2016-05-19;"0,9";0
2016-05-20;"0,1";0
2016-05-21;"3,5";0
2016-05-22;"3";0
2016-05-23;"1,4";0
2016-05-24;"0,6";0
2016-05-25;"1,2";0
2016-05-26;"2,4";0
2016-05-27;"5,1";0
2016-05-28;"5,7";0
2016-05-29;"3,7";0
2016-05-30;"2,6";0
2016-05-31;"2,7";0
2016-06-01;"1,9";0
2016-06-02;"1,4";0
2016-06-03;"1,9";0
2016-06-04;"2,5";0
2016-06-05;"3,1";0
2016-06-06;"3,9";0
2016-06-07;"3,1";0
2016-06-08;"3,9";0
2016-06-09;"2,6";0
2016-06-10;"3,9";0
2016-06-11;"4,1";0
2016-06-12;"4,3";0
2016-06-13;"3,9";0
2016-06-14;"3,8";0
2016-06-15;"5,3";0
2016-06-16;"8,7";0
2016-06-17;"6,2";0
2016-06-18;"5,2";0
2016-06-19;"2,6";0
2016-06-20;"2,9";0
2016-06-21;"5,2";0
2016-06-22;"7,3";0
2016-06-23;"8,9";0
2016-06-24;"11";0
2016-06-25;"9,2";0
2016-06-26;"7,7";0
2016-06-27;"6,8";0
2016-06-28;"6,9";0
2016-06-29;"7,6";0
2016-06-30;"7,4";0
2016-07-01;"9";0
2016-07-02;"9,5";0
2016-07-03;"8";0
2016-07-04;"8,8";0
2016-07-05;"9,2";0
2016-07-06;"8,5";0
2016-07-07;"10,1";0
2016-07-08;"9,8";0
2016-07-09;"8,8";0
2016-07-10;"9,6";0
2016-07-11;"10,6";0
2016-07-12;"10,7";0
2016-07-13;"9,9";0
2016-07-14;"6,9";0
2016-07-15;"2,2";0
2016-07-16;"2,7";0
2016-07-17;"4,1";0
2016-07-18;"6,9";0
2016-07-19;"10,2";0
2016-07-20;"10,7";0
2016-07-21;"8,4";0
2016-07-22;"8";0
2016-07-23;"10,3";0
2016-07-24;"8,1";0
2016-07-25;"6,2";0
2016-07-26;"7,8";0
2016-07-27;"8,3";0
2016-07-28;"8,7";0
2016-07-29;"8,6";0
2016-07-30;"9,2";0
2016-07-31;"8,6";0
2016-08-01;"8,4";0
2016-08-02;"8,9";0
2016-08-03;"9,9";0
2016-08-04;"9,7";0
2016-08-05;"8,9";0
2016-08-06;"7,8";0
2016-08-07;"6,5";0
2016-08-08;"8,3";0
2016-08-09;"8,3";0
2016-08-10;"7,3";0
2016-08-11;"6,7";0
2016-08-12;"5,4";0
2016-08-13;"6,5";0
2016-08-14;"6,8";0
2016-08-15;"7";0
2016-08-16;"6,9";0
2016-08-17;"6,6";0
2016-08-18;"6,6";0
2016-08-19;"7,2";0
2016-08-20;"8,4";0
2016-08-21;"8,6";0
2016-08-22;"8,4";0
2016-08-23;"6,6";0
2016-08-24;"8,2";0
2016-08-25;"10";0
2016-08-26;"10";0
2016-08-27;"9,7";0
2016-08-28;"8,4";0
2016-08-29;"7,2";0
2016-08-30;"7,5";0
2016-08-31;"7,9";0
2016-09-01;"6,9";0
2016-09-02;"8,1";0
2016-09-03;"8,4";0
2016-09-04;"7,3";0
2016-09-05;"6,8";0
2016-09-06;"5,3";0
2016-09-07;"1,8";0
2016-09-08;"4,2";0
2016-09-09;"4,9";0
2016-09-10;"5";0
2016-09-11;"4,4";0
2016-09-12;"5,9";0
2016-09-13;"5,4";0
2016-09-14;"5,3";0
2016-09-15;"5,5";0
2016-09-16;"5,6";0
2016-09-17;"5,2";0
2016-09-18;"1,5";0
2016-09-19;"2";0
2016-09-20;"3,7";0
2016-09-21;"2,7";0
2016-09-22;"2,8";0
2016-09-23;"3,2";0
2016-09-24;"3,3";0
2016-09-25;"3,2";0
2016-09-26;"3";0
2016-09-27;"3,4";0
2016-09-28;"3,4";0
2016-09-29;"2,9";0
2016-09-30;"2,6";0
2016-10-01;"3";0
2016-10-02;"2";0
2016-10-03;"3,2";0
2016-10-04;"1,9";0
2016-10-05;"1,5";0
2016-10-06;"0,8";0
2016-10-07;"0,9";0
2016-10-08;"1,1";0
2016-10-09;"1,3";0
2016-10-10;"1,2";0
2016-10-11;"0";0
2016-10-12;"0,2";0
2016-10-13;"1,1";0
2016-10-14;"4,9";0
2016-10-15;"5,1";0
2016-10-16;"2,5";0
2016-10-17;"2,2";0
2016-10-18;"0,5";0
2016-10-19;"0,9";0
2016-10-20;"1";0
2016-10-21;"0,7";0
2016-10-22;"0,9";0
2016-10-23;"0,4";0
2016-10-24;"2,9";0
2016-10-25;"3,1";0
2016-10-26;"2,1";0
2016-10-27;"0,2";0
2016-10-28;"0";0
2016-10-29;"0,6";0
2016-10-30;"0,9";0
2016-10-31;"0,3";0
2016-11-01;"0,3";0
2016-11-02;"0,3";0
2016-11-03;"0,9";0
2016-11-04;"0,5";0
2016-11-05;"1,3";0
2016-11-06;"2,9";0
2016-11-07;"0,1";0
2016-11-08;"0";0
2016-11-09;"0";0
2016-11-10;"0";0
2016-11-11;"0";0
2016-11-12;"0";0
2016-11-13;"0";0
2016-11-14;"0";0
2016-11-15;"0";0
2016-11-16;"0";0
2016-11-17;"0";0
2016-11-18;"0,4";0
2016-11-19;"0,2";0
2016-11-20;"0,6";0
2016-11-21;"0,6";0
2016-11-22;"0,7";0
2016-11-23;"0,8";0
2016-11-24;"0,5";0
2016-11-25;"0,1";0
2016-11-26;"0";0
2016-11-27;"0";0
2016-11-28;"0";0
2016-11-29;"0";0
2016-11-30;"0";0
2016-12-01;"0";0
2016-12-02;"0";0
2016-12-03;"0";0
2016-12-04;"0";0
2016-12-05;"0";0
2016-12-06;"0";0
2016-12-07;"0";0
2016-12-08;"0";0
2016-12-09;"0";0
2016-12-10;"0";0
2016-12-11;"0";0
2016-12-12;"0";0
2016-12-13;"0";0
2016-12-14;"0";0
2016-12-15;"0";0
2016-12-16;"0";0
2016-12-17;"0";0
2016-12-18;"0";0
2016-12-19;"0";0
2016-12-20;"0";0
2016-12-21;"0";0
2016-12-22;"0";0
2016-12-23;"0";0
2016-12-24;"0";0
2016-12-25;"0";0
2016-12-26;"0";0
2016-12-27;"0";0
2016-12-28;"0";0
2016-12-29;"0";0
2016-12-30;"0";0
2016-12-31;"0";0
2017-01-01;"0";0
2017-01-02;"0";0
2017-01-03;"0";0
2017-01-04;"0";0
2017-01-05;"0";0
2017-01-06;"0";0
2017-01-07;"0";0
2017-01-08;"0";0
2017-01-09;"0";0
2017-01-10;"0";0
2017-01-11;"0";0
2017-01-12;"0";0
2017-01-13;"0";0
2017-01-14;"0";0
2017-01-15;"0";0
2017-01-16;"0";0
2017-01-17;"0";0
2017-01-18;"0";0
2017-01-19;"0";0
2017-01-20;"0";0
2017-01-21;"0";0
2017-01-22;"0";0
2017-01-23;"0";0
2017-01-24;"0";0
2017-01-25;"0";0
2017-01-26;"0";0
2017-01-27;"0";0
2017-01-28;"0";0
2017-01-29;"0";0
2017-01-30;"0";0
2017-01-31;"0";0
2017-02-01;"0";0
2017-02-02;"0";0
2017-02-03;"0";0
2017-02-04;"0";0
2017-02-05;"0";0
2017-02-06;"0";0
2017-02-07;"0";0
2017-02-08;"0";0
2017-02-09;"0";0
2017-02-10;"0";0
2017-02-11;"0";0
2017-02-12;"0";0
2017-02-13;"0";2
2017-02-14;"0";0
2017-02-15;"0";0
2017-02-16;"0";0
2017-02-17;"0";0
2017-02-18;"0";0
2017-02-19;"0";0
2017-02-20;"0";0
2017-02-21;"0";0
2017-02-22;"0";0
2017-02-23;"0";0
2017-02-24;"0";0
2017-02-25;"0";0
2017-02-26;"0";0
2017-02-27;"0,1";0
2017-02-28;"0";0
2017-03-01;"0";0
2017-03-02;"0";0
2017-03-03;"0";0
2017-03-04;"0";0
2017-03-05;"0";0
2017-03-06;"0";0
2017-03-07;"0";0
2017-03-08;"0";0
2017-03-09;"0";0
2017-03-10;"0,3";0
2017-03-11;"0";0
2017-03-12;"0";0
2017-03-13;"0";0
2017-03-14;"0";0
2017-03-15;"0";0
2017-03-16;"0";0
2017-03-17;"0";0
2017-03-18;"0";0
2017-03-19;"0";0
2017-03-20;"0";0
2017-03-21;"0,3";0
2017-03-22;"0";0
2017-03-23;"0";0
2017-03-24;"1";0
2017-03-25;"1,1";0
2017-03-26;"0";0
2017-03-27;"0";0
2017-03-28;"0";0
2017-03-29;"0,7";0
2017-03-30;"1,3";0
2017-03-31;"0,1";0
2017-04-01;"0,4";0
2017-04-02;"0,1";0
2017-04-03;"0";0
2017-04-04;"0,4";0
2017-04-05;"0,4";0
2017-04-06;"0";0
2017-04-07;"0,3";0
2017-04-08;"0,9";0
2017-04-09;"1,3";0
2017-04-10;"0,4";0
2017-04-11;"0";0
2017-04-12;"0,5";0
2017-04-13;"0,1";0
2017-04-14;"0,3";0
2017-04-15;"0,3";0
2017-04-16;"0,1";0
2017-04-17;"0,1";0
2017-04-18;"0";0
2017-04-19;"0";0
2017-04-20;"0";0
2017-04-21;"0";0
2017-04-22;"0";0
2017-04-23;"0";0
2017-04-24;"0,3";0
2017-04-25;"0,2";0
2017-04-26;"0,8";0
2017-04-27;"1,6";0
2017-04-28;"0,2";0
2017-04-29;"0,6";0
2017-04-30;"0,5";0
2017-05-01;"0";0
2017-05-02;"0,4";0
2017-05-03;"0,5";0
2017-05-04;"0,5";0
2017-05-05;"1,7";0
2017-05-06;"2,2";0
2017-05-07;"1";0
2017-05-08;"0,4";0
2017-05-09;"1,1";0
2017-05-10;"0,9";0
2017-05-11;"4,4";0
2017-05-12;"4,3";0
2017-05-13;"2,7";0
2017-05-14;"2,8";0
2017-05-15;"2";0
2017-05-16;"4,5";0
2017-05-17;"5";0
2017-05-18;"4,5";0
2017-05-19;"3";0
2017-05-20;"1,9";0
2017-05-21;"2,1";0
2017-05-22;"3,9";0
2017-05-23;"3,3";0
2017-05-24;"3,4";0
2017-05-25;"2";0
2017-05-26;"3";0
2017-05-27;"3,9";0
2017-05-28;"5,1";0
2017-05-29;"5";0
2017-05-30;"3,2";0
2017-05-31;"4,3";0
2017-06-01;"4,7";0
2017-06-02;"4,2";0
2017-06-03;"4,8";0
2017-06-04;"4,5";0
2017-06-05;"5,4";0
2017-06-06;"5";0
2017-06-07;"4,6";0
2017-06-08;"4,8";0
2017-06-09;"5,4";0
2017-06-10;"5,9";0
2017-06-11;"8,1";0
2017-06-12;"7,5";0
2017-06-13;"7,1";0
2017-06-14;"7,3";0
2017-06-15;"7,9";0
2017-06-16;"7,4";0
2017-06-17;"7,2";0
2017-06-18;"6,4";0
2017-06-19;"7,1";0
2017-06-20;"6,7";0
2017-06-21;"7,5";0
2017-06-22;"7,8";0
2017-06-23;"7,9";0
2017-06-24;"7,5";0
2017-06-25;"7,9";0
2017-06-26;"8,9";0
2017-06-27;"8,9";0
2017-06-28;"9,1";0
2017-06-29;"8,7";0
2017-06-30;"9,2";0
2017-07-01;"8,2";0
2017-07-02;"6,1";0
2017-07-03;"7,4";0
2017-07-04;"9,3";0
2017-07-05;"9";0
2017-07-06;"9,4";0
2017-07-07;"9";0
2017-07-08;"9,5";0
2017-07-09;"9,6";0
2017-07-10;"10";0
2017-07-11;"10,1";0
2017-07-12;"10,7";0
2017-07-13;"10";0
2017-07-14;"9,5";0
2017-07-15;"9,5";0
2017-07-16;"8,3";0
2017-07-17;"8";0
2017-07-18;"8,5";0
2017-07-19;"8";0
2017-07-20;"8,5";0
2017-07-21;"9,1";0
2017-07-22;"10,7";0
2017-07-23;"10,4";0
2017-07-24;"8,9";0
2017-07-25;"7,4";0
2017-07-26;"6,4";0
2017-07-27;"6,7";0
2017-07-28;"8";0
2017-07-29;"8,4";0
2017-07-30;"9,6";0
2017-07-31;"11,6";0
2017-08-01;"13";0
2017-08-02;"11,7";0
2017-08-03;"10,8";0
2017-08-04;"11,3";0
2017-08-05;"11,5";0
2017-08-06;"11,2";0
2017-08-07;"11,6";0
2017-08-08;"11,8";0
2017-08-09;"12,9";0
2017-08-10;"13,5";0
2017-08-11;"9,3";0
2017-08-12;"6";0
2017-08-13;"6,7";0
2017-08-14;"8,6";0
2017-08-15;"9,5";0
2017-08-16;"10,2";0
2017-08-17;"9,1";0
2017-08-18;"9,3";0
2017-08-19;"8";0
2017-08-20;"7,4";0
2017-08-21;"8,2";0
2017-08-22;"7,7";0
2017-08-23;"7,1";0
2017-08-24;"7,7";0
2017-08-25;"8,4";0
2017-08-26;"8,3";0
2017-08-27;"8,3";0
2017-08-28;"8,1";0
2017-08-29;"9,8";0
2017-08-30;"9,1";0
2017-08-31;"7,9";0
2017-09-01;"7,6";0
2017-09-02;"5,7";0
2017-09-03;"4,3";0
2017-09-04;"4,3";0
2017-09-05;"4,9";0
2017-09-06;"5";0
2017-09-07;"3,7";0
